alloy_id,A1,A2,B1,B2,X,x,formula,formula_0,formula_100,Eg,direct,dHf,dHd
RbCsTiSrBr6,Rb,Cs,Ti,Sr,Br,25,Rb2Cs2Ti3SrBr12,RbCsTi2Br6,RbCsSr2Br6,0.04430000000000023,False,-1.6484335,0.10615752265506684
RbCsTiSrBr6,Rb,Cs,Ti,Sr,Br,50,RbCsTiSrBr6,RbCsTi2Br6,RbCsSr2Br6,0.08619999999999983,False,-1.8260635000000005,0.07896237610337753
RbCsTiSrBr6,Rb,Cs,Ti,Sr,Br,75,Rb2Cs2TiSr3Br12,RbCsTi2Br6,RbCsSr2Br6,0.24729999999999985,False,-2.0089777500000006,0.04476518805168972
Rb2FeCoI6,Rb,,Fe,Co,I,25,Rb4Fe3CoI12,RbFeI3,RbCoI3,0.016300000000000203,False,-0.6507939999999998,0.1557802507903241
Rb2FeCoI6,Rb,,Fe,Co,I,50,Rb2FeCoI6,RbFeI3,RbCoI3,0.0,False,-0.6245767500000007,0.17065710412365753
Rb2FeCoI6,Rb,,Fe,Co,I,75,Rb4FeCo3I12,RbFeI3,RbCoI3,0.0,False,-0.5925897500000001,0.19130370745699077
RbCsMnCoI6,Rb,Cs,Mn,Co,I,25,Rb2Cs2Mn3CoI12,RbCsMn2I6,RbCsCo2I6,0.0,False,-0.8439742500000005,0.10719871169262207
RbCsMnCoI6,Rb,Cs,Mn,Co,I,50,RbCsMnCoI6,RbCsMn2I6,RbCsCo2I6,0.0,False,-0.75481625,0.1444984388363011
RbCsMnCoI6,Rb,Cs,Mn,Co,I,75,Rb2Cs2MnCo3I12,RbCsMn2I6,RbCsCo2I6,0.0,False,-0.667194,0.17893565672997802
RbCsMgCaCl6,Rb,Cs,Mg,Ca,Cl,25,Rb2Cs2Mg3CaCl12,RbCsMg2Cl6,RbCsCa2Cl6,4.4273,True,-2.2207175,0.011387807091105984
RbCsMgCaCl6,Rb,Cs,Mg,Ca,Cl,50,RbCsMgCaCl6,RbCsMg2Cl6,RbCsCa2Cl6,4.7133,True,-2.3058405,0.013882901102403089
RbCsMgCaCl6,Rb,Cs,Mg,Ca,Cl,75,Rb2Cs2MgCa3Cl12,RbCsMg2Cl6,RbCsCa2Cl6,5.1358,True,-2.3969795,0.005512825551201583
Rb2MnCoI6,Rb,,Mn,Co,I,25,Rb4Mn3CoI12,RbMnI3,RbCoI3,0.0,False,-0.8283742500000002,0.10506066635929256
Rb2MnCoI6,Rb,,Mn,Co,I,50,Rb2MnCoI6,RbMnI3,RbCoI3,0.0,False,-0.7433905000000003,0.13818614350297098
Rb2MnCoI6,Rb,,Mn,Co,I,75,Rb4MnCo3I12,RbMnI3,RbCoI3,0.0,False,-0.6578022500000003,0.17058936139664782
Cs2CaCoF6,Cs,,Ca,Co,F,25,Cs4Ca3CoF12,CsCaF3,CsCoF3,0.5567,False,-3.350101,0.012538760076219901
Cs2CaCoF6,Cs,,Ca,Co,F,50,Cs2CaCoF6,CsCaF3,CsCoF3,0.04420000000000002,False,-2.9990362499999996,0.0327257701524406
Cs2CaCoF6,Cs,,Ca,Co,F,75,Cs4CaCo3F12,CsCaF3,CsCoF3,0.3455999999999997,False,-2.6568464999999994,0.04403778022866156
NaKCoZnF6,Na,K,Co,Zn,F,25,Na2K2Co3ZnF12,NaKCo2F6,NaKZn2F6,0.2041000000000004,False,-2.4392709999999993,0.03366782264716406
NaKCoZnF6,Na,K,Co,Zn,F,50,NaKCoZnF6,NaKCo2F6,NaKZn2F6,0.3346,False,-2.5278537500000002,0.03887208006382892
NaKCoZnF6,Na,K,Co,Zn,F,75,Na2K2CoZn3F12,NaKCo2F6,NaKZn2F6,0.48529999999999984,False,-2.6164065,0.043592022063828395
RbCsMgCrCl6,Rb,Cs,Mg,Cr,Cl,25,Rb2Cs2Mg3CrCl12,RbCsMg2Cl6,RbCsCr2Cl6,0.0,False,-1.9761594999999996,0.047949097017307984
RbCsMgCrCl6,Rb,Cs,Mg,Cr,Cl,50,RbCsMgCrCl6,RbCsMg2Cl6,RbCsCr2Cl6,0.0,False,-1.85023325,0.05349673095480689
RbCsMgCrCl6,Rb,Cs,Mg,Cr,Cl,75,Rb2Cs2MgCr3Cl12,RbCsMg2Cl6,RbCsCr2Cl6,0.0,False,-1.7245184999999998,0.05730573132980599
RbCsCdPbCl6,Rb,Cs,Cd,Pb,Cl,25,Rb2Cs2Cd3PbCl12,RbCsCd2Cl6,RbCsPb2Cl6,2.1263,False,-1.6675892499999996,0.02757390053814035
RbCsCdPbCl6,Rb,Cs,Cd,Pb,Cl,50,RbCsCdPbCl6,RbCsCd2Cl6,RbCsPb2Cl6,2.2195,False,-1.6818037499999996,0.024752613038140137
RbCsCdPbCl6,Rb,Cs,Cd,Pb,Cl,75,Rb2Cs2CdPb3Cl12,RbCsCd2Cl6,RbCsPb2Cl6,2.6595999999999997,False,-1.69671275,0.02112193162147058
Rb2CoCuBr6,Rb,,Co,Cu,Br,25,Rb4Co3CuBr12,RbCoBr3,RbCuBr3,0.0,False,-1.0088770000000005,0.11150173019949916
Rb2CoCuBr6,Rb,,Co,Cu,Br,50,Rb2CoCuBr6,RbCoBr3,RbCuBr3,0.0,False,-1.0363785,0.07759050582450211
Rb2CoCuBr6,Rb,,Co,Cu,Br,75,Rb4CoCu3Br12,RbCoBr3,RbCuBr3,0.03280000000000005,False,-1.076819,0.02448016683712595
RbCsCrMnCl6,Rb,Cs,Cr,Mn,Cl,25,Rb2Cs2Cr3MnCl12,RbCsCr2Cl6,RbCsMn2Cl6,0.0,False,-1.61658525,0.052645081382562076
RbCsCrMnCl6,Rb,Cs,Cr,Mn,Cl,50,RbCsCrMnCl6,RbCsCr2Cl6,RbCsMn2Cl6,0.0,False,-1.629007,0.04953518106031041
RbCsCrMnCl6,Rb,Cs,Cr,Mn,Cl,75,Rb2Cs2CrMn3Cl12,RbCsCr2Cl6,RbCsMn2Cl6,0.0,False,-1.6420772500000005,0.04384294347832185
Rb2MgCoCl6,Rb,,Mg,Co,Cl,25,Rb4Mg3CoCl12,RbMgCl3,RbCoCl3,0.4386000000000001,False,-1.90825,0.04101895774647035
Rb2MgCoCl6,Rb,,Mg,Co,Cl,50,Rb2MgCoCl6,RbMgCl3,RbCoCl3,,,,
Rb2MgCoCl6,Rb,,Mg,Co,Cl,75,Rb4MgCo3Cl12,RbMgCl3,RbCoCl3,0.3012999999999999,False,-1.4766460000000001,0.09461449932980459
KCsCaMnCl6,K,Cs,Ca,Mn,Cl,25,K2Cs2Ca3MnCl12,KCsCa2Cl6,KCsMn2Cl6,2.6399999999999997,False,-2.269815499999999,0.011739846875391535
KCsCaMnCl6,K,Cs,Ca,Mn,Cl,50,KCsCaMnCl6,KCsCa2Cl6,KCsMn2Cl6,1.8284999999999998,False,-2.0643177500000007,0.020835568315047404
KCsCaMnCl6,K,Cs,Ca,Mn,Cl,75,K2Cs2CaMn3Cl12,KCsCa2Cl6,KCsMn2Cl6,1.6431999999999998,False,-1.8612775000000006,0.022545878680903186
K2MnNiCl6,K,,Mn,Ni,Cl,25,K4Mn3NiCl12,KMnCl3,KNiCl3,0.0,False,-1.5461415000000003,0.043584545190440416
K2MnNiCl6,K,,Mn,Ni,Cl,50,K2MnNiCl6,KMnCl3,KNiCl3,0.0,False,-1.4636644999999995,0.05131295375078704
