formula,alloy_id,A1,A2,B1,B2,X,is_alloy,x_frac,Eg,dHf,dHd,Efermi,Ag_up_vbm_orb_idx,Ag_up_vbm_frac,Cs_up_vbm_orb_idx,Cs_up_vbm_frac,Cd_up_vbm_orb_idx,Cd_up_vbm_frac,Co_up_vbm_orb_idx,Co_up_vbm_frac,F_up_vbm_orb_idx,F_up_vbm_frac,Ag_up_cbm_orb_idx,Ag_up_cbm_frac,Cs_up_cbm_orb_idx,Cs_up_cbm_frac,Cd_up_cbm_orb_idx,Cd_up_cbm_frac,Co_up_cbm_orb_idx,Co_up_cbm_frac,F_up_cbm_orb_idx,F_up_cbm_frac,Ag_down_vbm_orb_idx,Ag_down_vbm_frac,Cs_down_vbm_orb_idx,Cs_down_vbm_frac,Cd_down_vbm_orb_idx,Cd_down_vbm_frac,Co_down_vbm_orb_idx,Co_down_vbm_frac,F_down_vbm_orb_idx,F_down_vbm_frac,Ag_down_cbm_orb_idx,Ag_down_cbm_frac,Cs_down_cbm_orb_idx,Cs_down_cbm_frac,Cd_down_cbm_orb_idx,Cd_down_cbm_frac,Co_down_cbm_orb_idx,Co_down_cbm_frac,F_down_cbm_orb_idx,F_down_cbm_frac,Cu_up_vbm_orb_idx,Cu_up_vbm_frac,Cu_up_cbm_orb_idx,Cu_up_cbm_frac,Cu_down_vbm_orb_idx,Cu_down_vbm_frac,Cu_down_cbm_orb_idx,Cu_down_cbm_frac,Mg_up_vbm_orb_idx,Mg_up_vbm_frac,Mg_up_cbm_orb_idx,Mg_up_cbm_frac,Mg_down_vbm_orb_idx,Mg_down_vbm_frac,Mg_down_cbm_orb_idx,Mg_down_cbm_frac,Ca_up_vbm_orb_idx,Ca_up_vbm_frac,Ca_up_cbm_orb_idx,Ca_up_cbm_frac,Ca_down_vbm_orb_idx,Ca_down_vbm_frac,Ca_down_cbm_orb_idx,Ca_down_cbm_frac,Cl_up_vbm_orb_idx,Cl_up_vbm_frac,Cl_up_cbm_orb_idx,Cl_up_cbm_frac,Cl_down_vbm_orb_idx,Cl_down_vbm_frac,Cl_down_cbm_orb_idx,Cl_down_cbm_frac,Br_up_vbm_orb_idx,Br_up_vbm_frac,Br_up_cbm_orb_idx,Br_up_cbm_frac,Br_down_vbm_orb_idx,Br_down_vbm_frac,Br_down_cbm_orb_idx,Br_down_cbm_frac,Ni_up_vbm_orb_idx,Ni_up_vbm_frac,Ni_up_cbm_orb_idx,Ni_up_cbm_frac,Ni_down_vbm_orb_idx,Ni_down_vbm_frac,Ni_down_cbm_orb_idx,Ni_down_cbm_frac,Zn_up_vbm_orb_idx,Zn_up_vbm_frac,Zn_up_cbm_orb_idx,Zn_up_cbm_frac,Zn_down_vbm_orb_idx,Zn_down_vbm_frac,Zn_down_cbm_orb_idx,Zn_down_cbm_frac,Ba_up_vbm_orb_idx,Ba_up_vbm_frac,Pb_up_vbm_orb_idx,Pb_up_vbm_frac,Ba_up_cbm_orb_idx,Ba_up_cbm_frac,Pb_up_cbm_orb_idx,Pb_up_cbm_frac,Ba_down_vbm_orb_idx,Ba_down_vbm_frac,Pb_down_vbm_orb_idx,Pb_down_vbm_frac,Ba_down_cbm_orb_idx,Ba_down_cbm_frac,Pb_down_cbm_orb_idx,Pb_down_cbm_frac,I_up_vbm_orb_idx,I_up_vbm_frac,I_up_cbm_orb_idx,I_up_cbm_frac,I_down_vbm_orb_idx,I_down_vbm_frac,I_down_cbm_orb_idx,I_down_cbm_frac,Cr_up_vbm_orb_idx,Cr_up_vbm_frac,Cr_up_cbm_orb_idx,Cr_up_cbm_frac,Cr_down_vbm_orb_idx,Cr_down_vbm_frac,Cr_down_cbm_orb_idx,Cr_down_cbm_frac,Fe_up_vbm_orb_idx,Fe_up_vbm_frac,Fe_up_cbm_orb_idx,Fe_up_cbm_frac,Fe_down_vbm_orb_idx,Fe_down_vbm_frac,Fe_down_cbm_orb_idx,Fe_down_cbm_frac,Mn_up_vbm_orb_idx,Mn_up_vbm_frac,Mn_up_cbm_orb_idx,Mn_up_cbm_frac,Mn_down_vbm_orb_idx,Mn_down_vbm_frac,Mn_down_cbm_orb_idx,Mn_down_cbm_frac,Pd_up_vbm_orb_idx,Pd_up_vbm_frac,Pd_up_cbm_orb_idx,Pd_up_cbm_frac,Pd_down_vbm_orb_idx,Pd_down_vbm_frac,Pd_down_cbm_orb_idx,Pd_down_cbm_frac,Sn_up_vbm_orb_idx,Sn_up_vbm_frac,Sn_up_cbm_orb_idx,Sn_up_cbm_frac,Sn_down_vbm_orb_idx,Sn_down_vbm_frac,Sn_down_cbm_orb_idx,Sn_down_cbm_frac,Sr_up_vbm_orb_idx,Sr_up_vbm_frac,Sr_up_cbm_orb_idx,Sr_up_cbm_frac,Sr_down_vbm_orb_idx,Sr_down_vbm_frac,Sr_down_cbm_orb_idx,Sr_down_cbm_frac,Ti_up_vbm_orb_idx,Ti_up_vbm_frac,Ti_up_cbm_orb_idx,Ti_up_cbm_frac,Ti_down_vbm_orb_idx,Ti_down_vbm_frac,Ti_down_cbm_orb_idx,Ti_down_cbm_frac,V_up_vbm_orb_idx,V_up_vbm_frac,V_up_cbm_orb_idx,V_up_cbm_frac,V_down_vbm_orb_idx,V_down_vbm_frac,V_down_cbm_orb_idx,V_down_cbm_frac,Pt_up_vbm_orb_idx,Pt_up_vbm_frac,Pt_up_cbm_orb_idx,Pt_up_cbm_frac,Pt_down_vbm_orb_idx,Pt_down_vbm_frac,Pt_down_cbm_orb_idx,Pt_down_cbm_frac,K_up_vbm_orb_idx,K_up_vbm_frac,K_up_cbm_orb_idx,K_up_cbm_frac,K_down_vbm_orb_idx,K_down_vbm_frac,K_down_cbm_orb_idx,K_down_cbm_frac,Rb_up_vbm_orb_idx,Rb_up_vbm_frac,Rb_up_cbm_orb_idx,Rb_up_cbm_frac,Rb_down_vbm_orb_idx,Rb_down_vbm_frac,Rb_down_cbm_orb_idx,Rb_down_cbm_frac,Li_up_vbm_orb_idx,Li_up_vbm_frac,Li_up_cbm_orb_idx,Li_up_cbm_frac,Li_down_vbm_orb_idx,Li_down_vbm_frac,Li_down_cbm_orb_idx,Li_down_cbm_frac,Na_up_vbm_orb_idx,Na_up_vbm_frac,Na_up_cbm_orb_idx,Na_up_cbm_frac,Na_down_vbm_orb_idx,Na_down_vbm_frac,Na_down_cbm_orb_idx,Na_down_cbm_frac
Rb2Cs2Ti3SrBr12,RbCsTiSrBr6,Rb,Cs,Ti,Sr,Br,True,0.25,0.04430000000000023,-1.6484335,0.10615752265506684,2.05662576,,,1.0,0.0005,,,,,,,,,1.0,0.0005,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0636,1.0,0.0636,1.0,1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0007,2.0,0.0007,-1.0,0.0,-1.0,0.0,2.0,0.9346,2.0,0.9346,-1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0005,1.0,0.0005,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
RbCsTiSrBr6,RbCsTiSrBr6,Rb,Cs,Ti,Sr,Br,True,0.5,0.08619999999999983,-1.8260635000000005,0.07896237610337753,2.22796229,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0654,1.0,0.0654,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0017,0.0,0.0017,-1.0,0.0,-1.0,0.0,2.0,0.9327,2.0,0.9327,-1.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0002,0.0,0.0002,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
Rb2Cs2TiSr3Br12,RbCsTiSrBr6,Rb,Cs,Ti,Sr,Br,True,0.75,0.24729999999999985,-2.0089777500000006,0.04476518805168972,2.08033216,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,2.0,1.0,2.0,1.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
Rb4Fe3CoI12,Rb2FeCoI6,Rb,,Fe,Co,I,True,0.25,0.016300000000000203,-0.6507939999999998,0.1557802507903241,2.77798916,,,,,,,2.0,0.6667,,,,,,,,,2.0,0.6667,,,,,,,,,2.0,0.2991,,,,,,,,,2.0,0.2991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333,1.0,0.3333,1.0,0.0782,1.0,0.0782,,,,,,,,,-1.0,0.0,-1.0,0.0,2.0,0.6212,2.0,0.6212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,1.0,0.0014,1.0,0.0014,,,,,,,,,,,,,,,,
Rb2FeCoI6,Rb2FeCoI6,Rb,,Fe,Co,I,True,0.5,0.0,-0.6245767500000007,0.17065710412365753,2.66238583,,,,,,,2.0,0.3653,,,,,,,,,2.0,0.3653,,,,,,,,,2.0,0.5121,,,,,,,,,2.0,0.5121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5484,1.0,0.5484,1.0,0.079,1.0,0.079,,,,,,,,,2.0,0.0859,2.0,0.0859,2.0,0.4076,2.0,0.4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0005,1.0,0.0005,1.0,0.0013,1.0,0.0013,,,,,,,,,,,,,,,,
Rb4FeCo3I12,Rb2FeCoI6,Rb,,Fe,Co,I,True,0.75,0.0,-0.5925897500000001,0.19130370745699077,2.58593237,,,,,,,2.0,0.3522,,,,,,,,,2.0,0.3522,,,,,,,,,2.0,0.643,,,,,,,,,2.0,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5656,1.0,0.5656,1.0,0.0801,1.0,0.0801,,,,,,,,,2.0,0.0822,2.0,0.0822,2.0,0.2759,2.0,0.2759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,1.0,0.0011,1.0,0.0011,,,,,,,,,,,,,,,,
Rb2Cs2Mn3CoI12,RbCsMnCoI6,Rb,Cs,Mn,Co,I,True,0.25,0.0,-0.8439742500000005,0.10719871169262207,2.5580523,,,-1.0,0.0,,,2.0,0.0868,,,,,-1.0,0.0,,,2.0,0.0868,,,,,1.0,0.0008,,,2.0,0.9303,,,,,1.0,0.0008,,,2.0,0.9303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5266,1.0,0.5266,1.0,0.06,1.0,0.06,,,,,,,,,,,,,,,,,2.0,0.3865,2.0,0.3865,2.0,0.0085,2.0,0.0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,1.0,0.0004,1.0,0.0004,,,,,,,,,,,,,,,,
RbCsMnCoI6,RbCsMnCoI6,Rb,Cs,Mn,Co,I,True,0.5,0.0,-0.75481625,0.1444984388363011,2.54894052,,,1.0,0.0002,,,2.0,0.1541,,,,,1.0,0.0002,,,2.0,0.1541,,,,,1.0,0.0008,,,2.0,0.9249,,,,,1.0,0.0008,,,2.0,0.9249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5483,1.0,0.5483,1.0,0.0698,1.0,0.0698,,,,,,,,,,,,,,,,,2.0,0.2974,2.0,0.2974,2.0,0.0041,2.0,0.0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0001,1.0,0.0001,1.0,0.0005,1.0,0.0005,,,,,,,,,,,,,,,,
Rb2Cs2MnCo3I12,RbCsMnCoI6,Rb,Cs,Mn,Co,I,True,0.75,0.0,-0.667194,0.17893565672997802,2.53733007,,,1.0,0.0009,,,2.0,0.2684,,,,,1.0,0.0009,,,2.0,0.2684,,,,,1.0,0.0007,,,2.0,0.9172,,,,,1.0,0.0007,,,2.0,0.9172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5997,1.0,0.5997,1.0,0.0788,1.0,0.0788,,,,,,,,,,,,,,,,,2.0,0.1307,2.0,0.1307,2.0,0.0028,2.0,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0003,1.0,0.0003,1.0,0.0005,1.0,0.0005,,,,,,,,,,,,,,,,
Rb2Cs2Mg3CaCl12,RbCsMgCaCl6,Rb,Cs,Mg,Ca,Cl,True,0.25,4.4273,-2.2207175,0.011387807091105984,-0.07253427,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,-1.0,0.0,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,
