formula,A1,A2,B,X,Eg,direct,dHf,dHd
RbCsTi2Br6,Rb,Cs,Ti,Br,0.0,False,-1.4666292500000004,0.13752691920675675
RbCsSr2Br6,Rb,,Sr,F,4.3373,True,-2.20246,-0.0016466377752504258
RbCsMn2I6,Rb,Cs,Mn,I,0.8361000000000001,False,-0.9287165000000002,0.074314734548945
RbCsCo2I6,Rb,Cs,Co,I,0.0,False,-0.5796780000000001,0.20601204395699035
RbCsMg2Cl6,Rb,Cs,Mg,Cl,3.9999999999999996,True,-2.13223525,0.012251963079807915
RbCsCa2Cl6,Rb,Cs,Ca,Cl,5.2721,False,-2.4852612499999998,-0.0005342500000002914
RbMnI3,Rb,,Mn,I,0.7909999999999999,True,-0.9086470000000005,0.07664618921561317
RbCoI3,Rb,,Co,I,0.0,False,-0.5777890000000003,0.19476406079032405
CsCaF3,Cs,,Ca,F,6.8727,True,-3.6935174999999996,-0.004303775521332653
CsCoF3,Cs,,Co,F,0.2764000000000002,False,-2.2981439999999993,0.06289092885365921
NaKCo2F6,Na,K,Co,F,0.08650000000000002,False,-2.3479339999999995,0.03018918439716245
NaKZn2F6,Na,K,Zn,F,3.6943,True,-2.709167,0.04410421406382792
RbCsCr2Cl6,Rb,Cs,Cr,Cl,0.0,False,-1.606309249999999,0.05360923170480891
RbCsCd2Cl6,Rb,Cs,Cd,Cl,1.8865,True,-1.6521027500000003,0.031667188038138505
RbCsPb2Cl6,Rb,Cs,Pb,Cl,2.7211000000000003,True,-1.7136622499999998,0.01108161870003821
RbCoBr3,Rb,,Co,Br,0.0,False,-0.9677317500000001,0.14426606586616586
RbCuBr3,Rb,,Cu,Br,0.0,False,-1.0835125,-0.005469789550498039
RbCsMn2Cl6,Rb,Cs,Mn,Cl,1.2507,False,-1.6718380000000004,0.020493287266458715
RbMgCl3,Rb,,Mg,Cl,4.0929,True,-2.1234287499999995,0.01018605220480584
RbCoCl3,Rb,,Co,Cl,0.061900000000000066,False,-1.25946875,0.1181291353714693
KCsCa2Cl6,K,Cs,Ca,Cl,5.2355,True,-2.4716720000000003,0.00543154618573416
KCsMn2Cl6,K,Cs,Mn,Cl,1.2256999999999998,True,-1.6584655000000006,0.023900100721003348
KMnCl3,K,,Mn,Cl,1.2947999999999997,True,-1.645866000000001,0.01860863663009571
KNiCl3,K,,Ni,Cl,0.0,False,-1.2802902499999995,0.08348236237147422
RbCsCr2Br6,Rb,Cs,Cr,Br,0.0,False,-1.3043257500000003,0.046700677949504055
RbCsMn2Br6,Rb,Cs,Mn,Br,0.9435000000000002,False,-1.36865775,0.04574681308312023
