formula,A1,A2,B1,B2,X,is_alloy,x_frac,Eg,dHf,dHd,A1_NdValence,A1_NValence,A1_Electronegativity,A1_AtomicRadius,A1_GSbandgap,A1_GSmagmom,A1_MeltingT,A2_NdValence,A2_NValence,A2_Electronegativity,A2_AtomicRadius,A2_GSbandgap,A2_GSmagmom,A2_MeltingT,B1_NdValence,B1_NValence,B1_Electronegativity,B1_AtomicRadius,B1_GSbandgap,B1_GSmagmom,B1_MeltingT,B2_NdValence,B2_NValence,B2_Electronegativity,B2_AtomicRadius,B2_GSbandgap,B2_GSmagmom,B2_MeltingT,X_NdValence,X_NValence,X_Electronegativity,X_AtomicRadius,X_GSbandgap,X_GSmagmom,X_MeltingT
Rb2Cs2Ti3SrBr12,Rb,Cs,Ti,Sr,Br,True,0.25,0.04430000000000023,-1.6484335,0.10615752265506684,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,2.0,4.0,1.54,1.4,0.0,2.25333333333e-05,1941.0,0.0,2.0,0.95,2.0,0.0,0.0,1050.0,10.0,17.0,2.96,1.15,1.457,0.0,265.8
RbCsTiSrBr6,Rb,Cs,Ti,Sr,Br,True,0.5,0.08619999999999983,-1.8260635000000005,0.07896237610337753,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,2.0,4.0,1.54,1.4,0.0,2.25333333333e-05,1941.0,0.0,2.0,0.95,2.0,0.0,0.0,1050.0,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Rb2Cs2TiSr3Br12,Rb,Cs,Ti,Sr,Br,True,0.75,0.24729999999999985,-2.0089777500000006,0.04476518805168972,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,2.0,4.0,1.54,1.4,0.0,2.25333333333e-05,1941.0,0.0,2.0,0.95,2.0,0.0,0.0,1050.0,10.0,17.0,2.96,1.15,1.457,0.0,265.8
Rb4Fe3CoI12,Rb,,Fe,Co,I,True,0.25,0.016300000000000203,-0.6507939999999998,0.1557802507903241,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,6.0,8.0,1.83,1.4,0.0,2.1106628,1811.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb2FeCoI6,Rb,,Fe,Co,I,True,0.5,0.0,-0.6245767500000007,0.17065710412365753,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,6.0,8.0,1.83,1.4,0.0,2.1106628,1811.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb4FeCo3I12,Rb,,Fe,Co,I,True,0.75,0.0,-0.5925897500000001,0.19130370745699077,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,6.0,8.0,1.83,1.4,0.0,2.1106628,1811.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb2Cs2Mn3CoI12,Rb,Cs,Mn,Co,I,True,0.25,0.0,-0.8439742500000005,0.10719871169262207,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,17.0,2.66,1.4,1.062,0.0,386.85
RbCsMnCoI6,Rb,Cs,Mn,Co,I,True,0.5,0.0,-0.75481625,0.1444984388363011,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb2Cs2MnCo3I12,Rb,Cs,Mn,Co,I,True,0.75,0.0,-0.667194,0.17893565672997802,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb2Cs2Mg3CaCl12,Rb,Cs,Mg,Ca,Cl,True,0.25,4.4273,-2.2207175,0.011387807091105984,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,0.0,2.0,1.31,1.5,0.0,0.0,923.0,0.0,2.0,1.0,1.8,0.0,0.0,1115.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
RbCsMgCaCl6,Rb,Cs,Mg,Ca,Cl,True,0.5,4.7133,-2.3058405,0.013882901102403089,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,0.0,2.0,1.31,1.5,0.0,0.0,923.0,0.0,2.0,1.0,1.8,0.0,0.0,1115.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
Rb2Cs2MgCa3Cl12,Rb,Cs,Mg,Ca,Cl,True,0.75,5.1358,-2.3969795,0.005512825551201583,0.0,1.0,0.82,2.35,0.0,0.0,312.46,0.0,1.0,0.79,2.6,0.0,0.0,301.59,0.0,2.0,1.31,1.5,0.0,0.0,923.0,0.0,2.0,1.0,1.8,0.0,0.0,1115.0,0.0,7.0,3.16,1.0,2.493,0.0,171.6
Rb4Mn3CoI12,Rb,,Mn,Co,I,True,0.25,0.0,-0.8283742500000002,0.10506066635929256,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,17.0,2.66,1.4,1.062,0.0,386.85
Rb2MnCoI6,Rb,,Mn,Co,I,True,0.5,0.0,-0.7433905000000003,0.13818614350297098,0.0,1.0,0.82,2.35,0.0,0.0,312.46,,,,,,,,5.0,7.0,1.55,1.4,0.0,0.000310120689655,1519.0,7.0,9.0,1.88,1.35,0.0,1.5484712,1768.0,10.0,17.0,2.66,1.4,1.062,0.0,386.85
